DATE,KIAUS,KIA3NF,CDUS,CDSVN,CD3NF,CDENM,AASVN,NCDUS,KIAUSPercent,CDUSPercent,NCDUSPercent,OWTEPHIGH,OWTEPLOW,OWTEPALL,REFCasualty,REFVietnam,likely,probably,vietnam,vietnamese,unlikely,casualties,undoubtedly,certain,possible,maybe,certainly,possibly,casualty,reportedly,impossible,uncertain,doubtful,perhaps,doubtless,probable,improbable,unthinkable,conceivable,inconceivable,could
Jan-66,196,22,282,903,74,2648,412,83,0.0006182829,0.0008895703,0.0002618239,48,17,65,2,95,18,18,66,29,0,2,3,5,8,0,3,4,0,2,0,1,0,2,1,0,0,0,0,0,0
Feb-66,208,23,435,1359,58,4727,617,55,0.0006561369,0.0013722094,0.0001734977,50,20,70,0,84,16,18,71,13,3,0,0,5,10,0,1,3,0,2,0,1,4,3,2,0,0,1,1,0,0
Mar-66,231,23,507,1145,59,5685,575,51,0.0007286905,0.0015993338,0.0001608797,62,11,73,1,88,20,29,66,22,3,0,1,3,5,0,2,1,1,0,2,2,1,3,1,0,0,0,0,0,0
Apr-66,245,28,316,945,30,2818,361,67,0.0007728536,0.0009968234,0.0002113518,47,10,57,0,64,11,21,56,8,4,0,1,5,1,1,2,3,0,2,0,2,0,1,1,2,0,0,0,0,0
May-66,255,29,464,961,19,4239,397,90,0.0008043986,0.0014636901,0.0002839054,34,14,48,1,62,9,17,56,6,0,1,0,3,4,0,3,2,0,5,1,1,1,2,0,0,0,0,0,0,0
Jun-66,268,30,507,1185,41,4815,468,69,0.0008454072,0.0015993338,0.0002176608,24,12,36,0,68,7,11,58,10,4,0,0,1,4,0,1,2,0,2,0,1,0,3,0,0,0,0,0,0,0
Jul-66,277,31,435,1006,32,5297,122,100,0.0008737977,0.0013722094,0.0003154504,38,14,52,3,94,3,29,66,28,1,3,2,2,6,0,1,1,0,1,0,4,0,2,0,0,0,0,0,0,0
Aug-66,297,35,396,914,44,5860,425,74,0.0009368878,0.0012491838,0.0002334333,39,10,49,2,83,10,21,62,21,2,2,0,1,6,0,3,1,0,0,1,0,0,2,0,1,0,0,1,0,0
Sep-66,313,47,419,803,30,4459,354,85,0.0009873599,0.0013217374,0.0002681329,28,7,35,0,69,7,14,58,11,2,0,0,1,5,0,1,0,0,0,2,1,0,1,0,1,0,0,0,0,0
Oct-66,342,52,340,844,63,5665,678,137,0.0010788405,0.0010725315,0.0004321671,37,5,42,0,52,11,16,48,4,2,0,2,2,3,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Nov-66,356,52,475,907,87,5447,626,149,0.0011230036,0.0014983896,0.0004700212,37,12,49,2,76,6,22,58,18,4,2,0,2,7,0,3,0,0,0,0,2,0,3,0,0,0,0,0,0,0
Dec-66,385,53,432,981,29,3864,507,85,0.0012144842,0.0013627459,0.0002681329,23,5,28,0,44,8,7,36,8,3,0,0,2,2,0,2,0,0,1,1,0,0,1,0,0,0,0,1,0,0
Jan-67,403,53,520,914,77,6064,454,112,0.0008920824,0.0011510740,0.0002479236,32,10,42,2,46,13,13,35,11,3,2,0,2,2,0,1,1,0,0,0,1,0,6,0,0,0,0,0,0,0
Feb-67,414,55,662,885,95,7341,505,88,0.0009164320,0.0014654058,0.0001947971,25,6,31,4,41,6,14,33,8,2,4,1,1,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
